symbol,date,open,close,high,low,volume
QQQ,12-29-2023,408.242,406.495,408.599,404.569,42979577
QQQ,12-28-2023,409.622,408.262,409.869,407.905,27230281
QQQ,12-27-2023,407.915,408.46,408.746,407.051,32218454
QQQ,12-26-2023,406.226,407.845,408.52,406.128,22891628
QQQ,12-22-2023,405.979,405.364,406.941,403.477,34569340
QQQ,12-21-2023,404.054,404.759,405.126,401.482,45908001
QQQ,12-20-2023,405.334,400.103,407.438,399.924,54444583
QQQ,12-19-2023,404.53,406.138,406.256,404.336,35977594
QQQ,12-18-2023,401.94,404.074,404.976,401.611,46956819
QQQ,12-15-2023,400.395,401.543,402.732,399.791,63491275
QQQ,12-14-2023,401.187,399.612,402.495,396.591,55972016
QQQ,12-13-2023,395.877,399.958,400.573,395.105,55931962
QQQ,12-12-2023,391.855,394.935,395.055,390.717,39591952
QQQ,12-11-2023,388.072,391.816,392.083,387.863,41587510
QQQ,12-08-2023,385.029,388.497,388.942,384.842,47128912
QQQ,12-07-2023,384.435,386.773,387.606,383.336,50062406
QQQ,12-06-2023,386.615,381.442,386.715,381.098,42391087
QQQ,12-05-2023,380.789,383.663,384.862,380.613,43338847
QQQ,12-04-2023,382.475,382.702,382.974,379.076,51670869
QQQ,12-01-2023,384.119,386.288,386.882,382.458,40872864
QQQ,11-30-2023,386.426,385.188,386.892,382.206,53333881
QQQ,11-29-2023,389.012,386.16,390.449,385.811,39178674
QQQ,11-28-2023,384.772,386.535,387.12,384.415,35826659
QQQ,11-27-2023,385.367,385.526,387.486,384.644,34462415
QQQ,11-24-2023,386.001,385.861,386.595,384.862,15867439
QQQ,11-22-2023,386.912,386.406,389.389,385.396,44596240
QQQ,11-21-2023,385.367,384.832,385.586,383.079,43746700
QQQ,11-20-2023,382.435,387.08,387.745,382.435,44957722
QQQ,11-17-2023,381.602,382.425,383.444,380.691,47063520
QQQ,11-16-2023,381.237,382.335,382.574,379.969,45772225
QQQ,11-15-2023,383.623,382.008,384.119,380.638,54653242
QQQ,11-14-2023,380.116,381.722,382.643,379.591,68433551
QQQ,11-13-2023,373.261,373.677,374.737,371.726,41118603
QQQ,11-10-2023,368.338,374.846,374.996,367.803,58920259
QQQ,11-09-2023,370.139,366.604,371.292,366.109,54368612
QQQ,11-08-2023,369.585,369.447,370.289,367.149,36000537
QQQ,11-07-2023,366.803,369.21,370.081,365.589,51257451
QQQ,11-06-2023,365.04,365.753,366.318,363.473,39216022
QQQ,11-03-2023,361.334,364.267,365.564,361.106,53784175
QQQ,11-02-2023,358.154,360.037,360.273,356.927,58712314
QQQ,11-01-2023,348.427,353.617,354.181,348.327,59550387
QQQ,10-31-2023,345.959,347.583,347.961,343.374,48122600
