symbol,date,open,close,high,low,volume
TQQQ,12-29-2023,51.38,50.7,51.5236,50.0,67122688
TQQQ,12-28-2023,51.92,51.41,52.01,51.27,42884113
TQQQ,12-27-2023,51.35,51.54,51.66,51.02,55747788
TQQQ,12-26-2023,50.64,51.27,51.51,50.62,43685609
TQQQ,12-22-2023,50.6,50.35,50.94,49.64,66210036
TQQQ,12-21-2023,49.89,50.145,50.27,48.94,74544711
TQQQ,12-20-2023,50.48,48.54,51.27,48.46,88082510
TQQQ,12-19-2023,50.42,51.02,51.06,50.355,60174797
TQQQ,12-18-2023,49.49,50.27,50.6,49.3667,58217985
TQQQ,12-15-2023,48.94,49.24,49.79,48.7,78365489
TQQQ,12-14-2023,49.25,48.66,49.73,47.5501,101348862
TQQQ,12-13-2023,47.38,48.74,49.0694,47.1,115040663
TQQQ,12-12-2023,45.98,47.08,47.1,45.57,71449741
TQQQ,12-11-2023,44.67,45.97,46.08,44.6,75770017
TQQQ,12-08-2023,43.65,44.83,45.0,43.585,90894450
TQQQ,12-07-2023,43.48,44.3,44.54,43.11,81377726
TQQQ,12-06-2023,44.28,42.52,44.32,42.41,81500273
TQQQ,12-05-2023,42.31,43.29,43.7,42.261,83770217
TQQQ,12-04-2023,42.91,42.98,43.0745,41.73,90571804
TQQQ,12-01-2023,43.49,44.24,44.4412,42.924,86468789
TQQQ,11-30-2023,44.3,43.87,44.455,42.8417,93197251
TQQQ,11-29-2023,45.24,44.24,45.73,44.13,88761563
TQQQ,11-28-2023,43.8,44.4,44.6,43.67,79174530
TQQQ,11-27-2023,44.005,44.05,44.74,43.765,60928200
TQQQ,11-24-2023,44.25,44.18,44.45,43.85,31987709
TQQQ,11-22-2023,44.57,44.4,45.42,44.054,85929175
TQQQ,11-21-2023,44.09,43.89,44.16,43.2916,74137637
TQQQ,11-20-2023,43.15,44.7,44.95,43.14,83291267
TQQQ,11-17-2023,42.88,43.16,43.5,42.565,78934433
TQQQ,11-16-2023,42.76,43.13,43.21,42.3305,89022468
TQQQ,11-15-2023,43.62,43.06,43.78,42.6,109216251
TQQQ,11-14-2023,42.47,42.94,43.28,42.29,116776212
TQQQ,11-13-2023,40.25,40.4,40.7299,39.75,90215210
TQQQ,11-10-2023,38.75,40.77,40.83,38.58,124790853
TQQQ,11-09-2023,39.34,38.22,39.71,38.0604,129182608
TQQQ,11-08-2023,39.2,39.15,39.43,38.43,93980052
TQQQ,11-07-2023,38.35,39.08,39.37,37.97,102251119
TQQQ,11-06-2023,37.81,38.01,38.21,37.32,91799830
TQQQ,11-03-2023,36.7,37.58,37.98,36.63,114330614
TQQQ,11-02-2023,35.76,36.3,36.38,35.4,117067047
